,0
765,926
766,378
767,1
768,293
769,2238
770,4
771,1819
772,988
773,18
774,178
775,395
776,4
777,2
778,1
779,1
780,2103
781,9
782,1
783,286
784,201
785,280
786,345
787,134
788,627
789,461
790,586
791,2056
792,15
793,180
794,317
795,95
796,737
797,776
798,529
799,303
800,2
801,81
802,413
803,3
804,1102
805,271
806,737
807,258
808,675
809,2092
810,1925
811,887
812,363
813,491
814,2
815,1670
816,227
817,1033
818,0
819,763
820,0
821,475
822,498
823,1
824,253
825,1
826,1135
827,311
828,410
829,375
830,1
831,1333
832,309
833,610
834,385
835,998
836,0
837,457
838,2078
839,765
840,1086
841,5
842,2226
843,46
844,2529
845,12
846,755
847,723
848,1451
849,8
850,1112
851,349
852,8
853,656
854,54
855,258
856,376
857,344
858,696
859,1330
860,550
861,249
862,668
863,57
864,93
865,905
866,587
867,51
868,1
869,2141
870,1
871,117
872,604
873,2
874,2
875,1075
876,412
877,2
878,344
879,2430
880,191
881,363
882,21
883,11
884,8
885,11
886,10
887,326
888,5
889,7
890,4
891,8
892,4
893,3
894,9
895,47
896,49
897,691
898,6
899,6
900,378
901,3
902,491
903,8
904,135
905,41
906,29
907,452
908,1180
909,3
910,220
911,971
912,455
913,566
914,2434
915,785
916,536
917,1710
918,1
919,1
920,109
921,859
922,284
923,2150
924,8
925,638
926,284
927,437
928,419
929,2
930,809
931,948
932,623
933,2
934,563
935,1948
936,1160
937,275
938,272
939,1000
940,1277
941,1830
942,700
943,347
944,488
945,18
946,151
947,536
948,395
949,530
950,1
951,1164
952,1188
953,368
954,668
955,817
956,305
957,721
958,570
959,224
960,542
961,184
962,1102
963,494
964,393
965,502
966,1192
967,209
968,255
969,194
970,1
971,782
972,164
973,230
974,750
975,20
976,852
977,204
978,402
979,384
980,1429
981,72
982,1279
983,754
984,1512
985,245
986,139
987,229
988,269
989,203
990,182
991,1
992,96
993,284
994,1096
995,900
996,359
997,356
998,1114
999,593
1000,2
1001,574
1002,6
1003,1371
1004,876
1005,6
1006,506
1007,390
1008,320
1009,1306
1010,189
1011,648
1012,557
1013,1
1014,1
1015,1
1016,1
1017,0
1018,447
1019,569
1020,5
1021,757
1022,2
1023,488
1024,294
1025,605
1026,21
1027,9
1028,26
1029,378
1030,429
1031,2
1032,762
1033,1
1034,1
1035,473
1036,1150
1037,538
1038,948
1039,327
1040,520
1041,442
1042,696
1043,1081
1044,1015
1045,526
1046,9
1047,279
1048,359
1049,0
1050,1392
1051,479
1052,1
1053,7
1054,4
1055,2
1056,551
1057,1064
1058,5
1059,559
1060,1310
1061,1461
1062,903
1063,530
1064,1399
1065,5
1066,2
1067,1911
1068,734
1069,240
1070,694
1071,493
1072,397
1073,2040
1074,540
1075,2040
1076,2520
1077,1080
1078,2160
1079,420
1080,300
1081,840
1082,1020
1083,480
1084,420
1085,360
1086,1020
1087,120
1088,540
